ltable_id,rtable_id
T1852,NK-KvVmfYMgcwsnyi3WNjw2xN
T21622,us-cuba-melia-internacional-varadero
T15567,NK-mQyrMQMtUrCkkyNDZsBcQ3
T18493,NK-RnhETdRioq47zZ3F3ec5xm
T21636,NK-9bryDCrsMpTytx2wPW7cmP
T22993,NK-bcDkbyVtQ9NZLXhsPh7ZaA
T21973,Q59957545
T24253,NK-AKnNYgctLDfbPk2kJc5GyJ
T25397,Q89843055
T13658,NK-etxUMtGjyv8hijKRbLzGxQ
T2221,NK-F728qxBEqY4SrJqCzFqePD
T7282,NK-4fe26HQxwGednDijGB83AA
T16064,NK-HrRc9divYdqieSCXoBa3Qn
T5907,Q20202264
T16252,NK-hxihj7cFsQt9ifhU8W3tUR
T13316,Q508929
T14088,NK-QvkxLxRUy8VZMLzmJNKbCF
T7535,NK-YKmBfi5EJgJmvNY4seX7xD
T5857,ofac-47498
T8317,NK-RxjV6H9CTo2uvRVrGufMG4
T19079,NK-McPXGdXdkdFoQi7cTbQMT2
T22143,NK-P2rYMvkcgM6aDJj6MBp6fc
T16194,NK-PCcNCtNUFQBcMC9KczTi5y
T11064,Q4203649
T6625,NK-iTytB7nsMuCjQ5MX8wmYU6
T4328,NK-e4WQsNCMdPM36y2r7WWTHe
T25677,NK-dRd9c32XVpxGX26DwkBXUk
T29177,Q268338
T20407,Q28173996
T20063,NK-2qZF5XkxqmKYSW54PobRcz
T5753,NK-ZAhmks3xZAZZjGibfiE84M
T8027,NK-Lme4V5QWJ3uZXogQE6ohqT
T1159,NK-hKDEPgvn8stewQXAmhLy2e
T6405,ofac-37417
T26131,NK-2PLPwwUX8dzzSPoV6wT6jR
T18664,NK-B59s3qqNHESUja3cHNTjpB
T27329,NK-WXVEfSyf8axsY39mvjSFx6
T5334,NK-LPEoYTAcqtzhjMQCVKNrNC
T4550,Q71848197
T21868,Q30346534
T29737,NK-A65MzrnwnRZSLrmC8t7vMW
T839,NK-Wzq8bLD8xpT8Gagz9YMDnY
T7331,trade-csl-64208c0816d7e3d9f4342aa14e18048b49440cae441f987ed08d9632
T15950,ofac-47089
T13288,ofac-48317
T1613,Q23037198
T18258,NK-WWhypgJKXiiY5uFHkPyPyN
T20460,NK-CeUjVoCWPF864LyvxciRQ4
T12793,NK-bkfLDL85hvnXTFoHgCHdek
T5661,in-mha-635ee7ff30ab0166a7e7a81f38724804ae93629f
T18608,NK-YzUpSwnLeVyJoKJQQU3nHZ
T9721,Q61744576
T19443,Q57338
T6039,Q4426961
T13174,NK-SV95ipkZgCiqjoerehGX8a
T18055,NK-SV95ipkZgCiqjoerehGX8a
T12117,Q97314182
T21172,NK-JLpH5CPyNShgPDbYAE78ut
T10533,Q4094384
T11563,NK-8SNRufoyD5s6f3743PTZoR
T25234,NK-SDcsERyY3CJmRAmHGgusn5
T10005,NK-W9yXTHs2ufzuAs55VSD7JU
T20875,NK-5SnagjPnoLDH3qdbh3oxqC
T28524,NK-4ecRWCRjA8F6J54ddtt4Zo
T20107,Q16052841
T10661,Q100712226
T9717,NK-Cn6cG87EnwEvScBqdS96qs
T579,NK-XcDGi4wDov6gr2yEDtR7tM
T27474,NK-CqmXNRPmoaY6eVEr472MGU
T84,NK-ZaCuGBf4znm3d63Tpnz7UB
T22586,Q204027
T6152,NK-U2sRyz6vECFFfj7mqynMvG
T27365,NK-kRJ3dcRMFaHVQ9Q2mmbJNQ
T17101,NK-EoesQyrgsNUQQqRQr5mUUh
T4908,Q7747
T3320,NK-98aRRcYuTKUVw4Tb83DfBe
T27804,NK-9iiiphJsGDHoyN8WZuof3Q
T15110,NK-HL29UpBi2bLRU8iiB3MP8J
T18181,NK-SqXNhKVdPJxCt3YKMLn2M5
T7968,NK-dzDbrtnjMstqVS9xeXXEQC
T27546,NK-SV95ipkZgCiqjoerehGX8a
T19609,us-klepto-hr-visa-malta-sai-mizzi-liang
T1525,NK-5eWoGzLDiwfqmagcVPFtPr
T4856,NK-fZH8FZJxkwNTDjmdwU8Nrj
T23499,Q2272536
T1964,NK-Eb39eEWF9QARmnqCp9SZqW
T1591,Q4292061
T8429,Q2029677
T13463,gb-fcdo-mya0010
T10357,NK-narJqZ5noVThwsf5NXoAYY
T26404,Q108686482
T23154,trade-csl-41de6b9d509b433263020b85ab50b07b4097e9dfd16720ef7292705a
T22372,NK-ZwVy2Zt37iFqbwzKik3k8C
T29214,Q3318915
T27502,NK-XfpXGA3Pt9YVdAB5DDHhbB
T18629,trade-csl-ded6b72fd6ca7abe973e17deabf39dc9914d5733a45f1a6fa795471a
T3640,NK-nYeDVBYmxFYTkrBMMDErt5
T27456,NK-kWrunczPWfzyv5Vv6pQFmR
T13605,NK-VaerJJo2TCM4Fec9Ay7ddw
T16096,Q44329
T22972,Q132243
T23675,us-cuba-tropicola
T17780,Q589645
T3833,NK-PX28BrgeV7BsJnjs8cY7yV
T13406,NK-9QJP7f6grct8HuxiFzjfKJ
T23975,Q4441872
T2126,trade-csl-02d2db187539052108cb46ff828ea8a061a2735f3a9037cfe4b12f3b
T20601,NK-iRvs28etP6fYvetxqQqLVP
T5380,trade-csl-d8df0fb0fc1822edb9d602aecb334e2d59b59841766b6ebbffaf321e
T17281,Q250924
T9625,NK-mgvUHAH6uSemyYTeXrYTK8
T18277,NK-oPGJPEtAQcUSomYZYbjfFk
T23453,trade-csl-bb67ca8f639948e5844f329c6fa50dcb
T314,Q26897742
T16260,NK-oHFhQXnZXUr45vWrV45oxU
T2697,NK-hPN3JRGWzPcTUnmWM63BKL
T27857,NK-jBmpgUdMyseJH4oFbyCj9Y
T28328,NK-HBh9RiAzX8tCBSYvxbosak
T19596,NK-JNqWdZZQoCntbabx25Y32i
T9783,NK-Jn3mue6Go2sDuch7upGMcD
T2745,NK-JveyGrN9KuwKS7kU4E97xp
T28114,NK-DUVaRUnoL3BgCvJtxaHQLY
T12312,NK-FmR7fcwAxUSikgXLYzLeAc
T26747,NK-XVNRuLzYqBBqrLwjNoiwHG
T24883,NK-RZrmNWdyLQ6zxk4EK2fbZv
T9623,Q28007628
