ltable_id,rtable_id
T12907,Q233812
T15136,trade-csl-e626b67552725dd6c26d5830afee9912aac096994abc574b0aa441b4
T28850,ca-sema-1-part-2-47-ru-jscb-mosoblbank-ojsc
T4836,Q80927133
T5550,NK-KZcmkJAHWzWiku7mQgcaSr
T16539,NK-isgLFkxq5ey6eqsgWX3wBA
T4443,ca-sema-1-20-sy-el-tel
T9364,Q4527170
T19707,trade-csl-35cc626b2e898886420f21075b412fae203e890bb02b446fc1c7c7da
T21522,NK-dnCTK2YtMgBSp5njQwZrpn
T24097,Q28792324
T8899,NK-hEpfdcssyRwaJ7QhCF8BRc
T16298,ca-sema-1-73-ir-sanam-electronics-co-shahid-shahabady-industrial-complex
T12303,Q8011165
T9382,NK-TAaoYLszVqQ8a5dPftB7bF
T25507,NK-9HeRTsMfmmgRGWkabFXdmQ
T16932,Q58217
T16287,Q120753216
T25666,NK-nq2qQaKeLNS4SQFPCjir8G
T24558,NK-YDsGotjnrFSRFjffWEhtb4
T14635,NK-mapCy99Lj2n24TfAudrfe3
T9978,Q28022952
T15845,trade-csl-0e56b05344b94fa3a91b6a1a84b92a9b
T21599,NK-mtcQ7fXtAssGYkMbzNWGfE
T16695,NK-9qDRWKBhWVvotVAxf5L8av
T14366,NK-Cvw2k8V8c94gFquaRTYvLL
T11344,us-cuba-central-vinales
T13298,NK-Eydwey85QwZHH7JC5ggrY2
T13467,Q17116258
T2507,Q44329
T13920,NK-NWvzorgAWvzibU2hqXEXJg
T9781,NK-ENgCxPQDL9fXrRFnMS8Czs
T18167,NK-KF2MCFdQ2qrJver5LtiWLW
T4920,NK-WJKDxrWtAqQVz6QUzWboXK
T13262,NK-9iC6x9Ziy7pG8rwR4SaPDP
T25317,Q381334
T28224,Q113397519
T7684,NK-W4tHcT6mK5D24ZVL9HPkiq
T1384,NK-UTmgjaEd23sQAPHzi56t2E
T25184,NK-9Z5zXrSHCSpQ7aeAyBcEu9
T28502,Q4174205
T2055,NK-id6WS3TTe5Kz2bapYhFjnJ
T13053,Q175254
T11775,Q97198619
T15896,NK-SxVZ9L8PLjZrp3sMEUwdEx
T995,NK-V8nDA2SP6YfjwXELHrdsz9
T22837,NK-grhosZeZFqGekPsEACT6WG
T9682,NK-auPHQusVjH8RtNwkAoFVcJ
