ltable_id,rtable_id
T12296,Q200015
T4882,NK-mVr3diqYYhHhY5B8CE3Pmq
T23118,th-des-salae-aokhari-1983-01-01
T26806,Q4536413
T11611,NK-JEcyjrhpLcxH7bpd6XEPyL
T20365,NK-CQa3vMPckY8gtLayd94pDy
T5063,Q20066698
T10826,Q34448
T4158,Q120853732
T20593,NK-mgqPJvAHZ8HtcUkRcF7xs3
T18074,Q56393803
T20184,us-klepto-hr-visa-china-hongyun-hu
T1434,Q4534450
T21697,NK-LNhB8R47ZjhEBnNakYjSbM
T27561,NK-hjxmNUyuKCjU6vtt3kf9mn
T14380,Q20812953
T7392,NK-ZEGtKrsmToBThjTX3a8kve
T11372,NK-9E677EtDMba9pXTQxjX26B
T1276,NK-hExmTMuTDJQB749JyAMhjq
T21534,Q385485
T14894,trade-csl-8a2ca7cf397956b593ab359aa88b373d1c550320380e6af245544d45
T18623,NK-KwYrujJramaFiTsQFbCtHK
T7560,NK-anf3D76vDMur2SMvQiQ6CG
T21039,NK-cjE3guSKFnSYZZusu2wWDb
T29567,NK-AmRGwyzifJDB2PHBJTGyyM
T5866,NK-dHiPHmYbY4LdQt7U9RyKSp
T196,NK-Lme4V5QWJ3uZXogQE6ohqT
T10005,NK-W9yXTHs2ufzuAs55VSD7JU
T1,NK-dEQhMhc48CiXiFrkgUkDkt
T19072,NK-Nnqh4qNjU32XiTWhh6XyxR
T27103,NK-8H924sMpeBQ6WhcWPwWxQQ
T29497,NK-ARHsLVP5fDYZSEqTiSukCr
T5069,NK-5uGk3vUXvJTHeHWraPLnnp
T23611,NK-GhDZvMBAaN2AoUZgkRQZme
T10322,NK-CHErLH2sfYm2kagr8sM9Fv
T24425,NK-jQ7TaBnbnjtLcskEkquw9X
T7630,Q20069750
T9110,NK-mPKw3rYhPLpQhFyixkPv2v
T1203,Q165693
T28829,NK-GvneYSUV9MrB9pdpiDWKL2
T24958,NK-Zf2JvfeErnJzX7AQmpaP6V
T3995,ofac-49002
T29987,NK-N22B5dsZaAh2aU3G4ztP7q
T9144,NK-KVB7Ci2UR96CeUiNq9qTLZ
T435,NK-cFktHExZYt8t7CzfEftiYP
T4938,NK-KDsoKCCnwnLu74KKHb9u5E
T27767,NK-nWp4Ma7YsH2Qf7DmqMkPaG
T1188,Q520291
T15556,NK-VXZr9JXhWr6FgkjB2gn7Ya
T4438,NK-8czCXK7umacC6TjweJC8o7
T7700,NK-2pwdNN85F9Kz22iHWMnXec
T10339,trade-csl-5eb97c2b05959953e6b7cec0cf4baa6448ba66353b3dabda8ca63acc
T19915,trade-csl-53a01cacac59dfa52c0f7d83cc14caae7f969e3ef54247afc2f1abc5
T25091,NK-CpddYi5aFDfrqDDLa6xkJR
T5385,trade-csl-34fbfd31fde37a41485af186cd601dcc1a12d5dfd08fdc8d14cf92ab
T15995,NK-6HPVsQoxS4RzkbXS2cjgaX
T4046,Q7917681
T19206,Q737463
T13134,NK-aW3v4WMyubhuVu39PiaQQV
T26599,Q317219
T11297,NK-he7c6FxZu5VokBhPyc7Vap
T17854,Q15064315
T20396,Q84720001
T8961,Q4443979
T16187,NK-CmQyZrFGg2TspkmmFajAFb
T10364,NK-KT9p4FHby75yh7brkTZfGM
T1931,NK-Quz7Tucg6CZPEW3apjXQjG
T13754,NK-giaDg9dwTKPiwYDD9aDMnx
T4047,Q6893063
T767,trade-csl-ac14eaeac70ec41d8bfca46ebb209380780d24c5766c4f5c147d05ca
T12953,Q4175586
T28901,NK-if933N9C6dSbFaCDX6B2t6
T9570,NK-MRk33U4K6bLFumg4DrNncP
T738,Q1165974
T9969,ca-sema-174-zw-rido-mpofu
T1954,Q84314139
T22665,NK-dZpryhfj5Y22pjhH8tNeZX
T19697,NK-brfLUp3szKpxKeQAxEoQ8L
T2248,NK-8j6E5Z3DjELp7pRo2vcf4j
T28067,Q4347372
T8609,NK-kdtwkk5qoJyipJrhqLeU4R
T18292,NK-3kVJRJRwMvmVCoDrADtZmE
T14739,Q16745486
T25626,NK-RV9hDinKqoLgpd4Xp7Ld8J
T24442,NK-bSfkFrJYcYSJem4nDYzMe8
T5478,NK-LZXUsJbwQGMDkBzTHZd8hs
T19358,Q43424911
T20304,NK-ZTtj4Tb6gRa6P8EbKgoLEm
T27070,NK-bV978xkRcbwthXcJiL8rSz
T10184,NK-ULNB64t5vX9ApTD6UyB7yH
T26744,NK-N9wZR5sc2JSuoNk6RSpQ4B
T2496,us-nteea-353-605de8afb7efb6b26a7d1917c932ca233ab80b9a
T26309,Q8990421
T26117,NK-9iMPEjHQXKwmjxGGuB9Jov
T23212,NK-HBbjyPQbqiJ7aDTGiEckYm
T7075,NK-nQuFEtdntRAao4GNfCJfhG
T11148,Q123003480
T15681,Q2027264
T27633,NK-VnuVYPaqsxoQLE4chFXD2S
T7159,ofac-37656
T16879,NK-FmJsZKH3e2VcNJsG4uviU7
T4945,NK-kdtwkk5qoJyipJrhqLeU4R
T12988,NK-cevgDw2ZakZqEQ58jgA5xQ
T13531,NK-PYCGhWjqyUyKKHqC2gCmL2
T12584,NK-McZtjDxCLnotsX5BANdSwt
T19965,NK-Hi8NHrxtZDCNh77erkYadL
T16151,NK-jPDxUCtqJxbs82RSYWyAuE
T7282,NK-4fe26HQxwGednDijGB83AA
