ltable_id,rtable_id
T23874,NK-4cU9ytYp6J6K2asXGk5uEP
T17183,NK-KXDCSsoQbyCnYzbdFWMNpv
T5538,NK-AEv4YKUpHiWueLeyuR7UVe
T21941,isin-RU000A0JXWW5
T18123,trade-csl-fd186441ee81cb0805ecf304aa729509a77ec5e76f1b1241e957a758
T6168,NK-7nvpEBu34LrqNrby3qZxRY
T6436,NK-2KdZHFNHSDUBqbF4M88hps
T6041,isin-RU000A0JWAG6
T8462,NK-Cy9L38qJXfXQTzjdAsxXTe
T16643,us-cuba-starfish-tropical
T13211,NK-i47FEpK7zbFA5wQncLX7xY
T17943,trade-csl-c276a4be56b0109c292f573e5a53fc29fe7130d42c853f5a7927892b
T4143,Q211185
T12545,NK-bUBnNPRdXfWHPU7WRzuUY7
T21605,NK-4ghSj4HbfpZBz4zAUjidr9
T26806,Q4536413
T7986,trade-csl-fd186441ee81cb0805ecf304aa729509a77ec5e76f1b1241e957a758
T6123,NK-bsdHmQ7Psay9MXYjPxL77Z
T14693,Q4079782
T9108,NK-2LoQyKGruYtomQVSdCNLdL
T8799,NK-b8K7iez7sg5Tw7HUPg6kMt
T23273,NK-A65MzrnwnRZSLrmC8t7vMW
T29497,NK-ARHsLVP5fDYZSEqTiSukCr
T15686,NK-3GTBRzwSRRbEH2PfDVM3Cc
T28797,NK-LYDzeGWQYsqX5aA4YZobsA
T28225,Q9956195
T15429,NK-3e8BuefPG7RBPN3J6xkGSx
T29694,NK-2SsibBg93YCrbiywqGU5di
T21169,NK-hCAm5mj25s6PUAYGfovwmQ
T19164,NK-CbXPkfiZ4gWMhMNuDAqPGh
T17576,NK-gqAVrQNfHJtWY3Pjnf2WZX
T27122,ofac-47868
T4390,NK-oHayi8YJuT5Y9cYLnYWtNv
T14536,us-klepto-hr-visa-dominican-republic-felix-ramon-bautista-abreu
T12821,Q2019365
T10546,NK-G2FthS84BFtToxBkU7GHSi
T19093,NK-Wy8xsPRzQJoZxygFTdf4PM
T22355,us-cuba-villa-punta-blanca-or-hotel-punta-blanca
T27573,NK-3jhj93akjs5wzAiWiSjBXR
T7397,trade-csl-0d41c50bc206581470437a22329321cdea8a2f1af7eb0f0966b18af6
T21316,NK-BoLX3kRzmEKxcHYHyG2qtL
T6892,NK-Jg4FDrbin6CYDUoctRui2w
T13618,NK-FLLyR385fa68oQ8fLFU4Sx
T7306,trade-csl-99287c99c37b5ab55bd645dfc9861d16c57b46050eb6badb73af64c0
T27973,ofac-39702
T15731,NK-fLvsb2e5yrpdx9A9ZVxwKm
T18828,Q28496559
T5365,Q2029643
T28722,Q4499836
T7605,NK-MxwjSeBCvuUa2vN6VBVCbg
T17061,Q60322608
T8919,NK-DiEwuZzhWs3CdGVU7F7EKW
T8647,NK-UHLiQiFbrdQBrHsZ6KdwrT
T7211,Q28016609
T9239,isin-RU000A100M39
T7566,Q4528002
T21136,NK-QauhZsqPZgKTthaeUvHL7b
T11677,NK-c2EEZzmyDaFTR7z2VQxfhi
T10792,isin-RU000A0JWMV0
T1578,isin-RU000A101426
T21864,NK-ZaCuGBf4znm3d63Tpnz7UB
T5557,NK-eNxXr3Q9g7YJyzQcsBAv52
T22279,NK-2UnX6by5UgU5dPQ7kwPoCf
T1212,NK-YkoLgBDQVp4bsdeBg5QJiq
T18767,Q2372665
T25619,isin-RU000A0ZZFR1
T14608,NK-ZP5WcF89UfBFBEGv4h2qBw
T4121,ofac-44227
T8172,NK-aSNG7UNcmZzt7cfSkePXXe
T2159,ofac-47442
T20562,be-fod-logical-91092244791
T7795,NK-EeKjQgsvPiVVh6WJ9NvVRQ
T1541,Q3126626
T29696,isin-RU000A1011S9
T23172,Q115536958
T5119,NK-PKjGstDbRjypVbvqpGBLVV
T7707,NK-PnaeGM64BRJZrpggExaBbS
T18926,Q63655
T18292,NK-3kVJRJRwMvmVCoDrADtZmE
T2500,NK-S3quWXYQyMCv5Rx9Vf5N3x
T9674,NK-P3EUBtRjzrsLEY9TDFgxiE
T18181,NK-SqXNhKVdPJxCt3YKMLn2M5
T27543,trade-csl-cb502b2a275e5a66185990444e647c2c9895380ad46d0926316b598e
T9627,NK-HwQjxFc7RCXMsaXucw6EvS
T16849,NK-cVbPdV5bRsf3TbB5DnLBDc
T18997,Q56193126
T5200,trade-csl-5687a0d540e0d5ce569a3946135deff844e2d90eabcc8ca59575c5f0
T15338,NK-4txqook4UC6Jpf2g7xyCLu
T12376,Q4064802
T1586,NK-ceLUsy969tDBeRVG7tXVSC
T2359,Q1393551
T26657,NK-efAmF2qtYUAVf5jiYuczyr
T4513,trade-csl-0a3806e2d9fccb171108579cdd807d4d0500913a7b179d5ef59a8178
T11740,NK-Q7mjWPNnojxXRvVWhQJENJ
T5875,NK-VJSUVx3HarNpSqVnpDabFo
T17665,trade-csl-528b62af354a603d77ea6c52f461a17b69ddd83d26109e3f9793cee5
T9242,NK-M6WVd4Qhhb8FYt2JRdU6F4
T3687,Q635059
T4341,NK-6mR7N856Q68kC492f4Prvi
T8441,isin-RU000A0ZYGZ5
T874,mymoha-person-kdn-1-07-2021
T19837,Q4097351
T16521,Q112704278
T14778,NK-fJCVW7tDDF2f2HfzMkjrYZ
T23467,Q28526218
T27912,Q16654510
T7894,Q65134855
T4191,NK-cS4PYWrNuW9AF7XNCpL9oS
T10135,NK-5XexvbcvDPAkSLoMMffpLX
T24676,NK-LgaYR7j5r8zu6e37g59BVV
T24310,trade-csl-0261f35b307719a739ed23ee66f50e33f5d97919b87e0695c4db8dba
T6654,isin-RU000A1048B7
T18935,Q108827912
T10469,Q2003255
T18944,isin-RU000A1031N8
T1825,NK-SV95ipkZgCiqjoerehGX8a
T12884,ofac-41300
T17914,NK-G8n2zmLPbBZL8wokBMTKxa
T28062,NK-V35KzbZu3Emo8vCm3vj547
T11560,trade-csl-9070a3f226205631f71ef00b648cceb514efb56640d1002405a46072
T3267,NK-E4zzuKmSyajibbwy8wzBf5
T29786,NK-RkZncqyHURNA4aMCiH3KDE
T15953,trade-csl-91a5901d94cd7626296e9220b8585f5065de4e8018e48e46babd3816
T19816,NK-6GnmT4syo6qSE8sL9wGHRG
T13096,Q4181439
T6707,isin-RU000A0JUVL6
T5014,ca-sema-76-ve-franco-silva-avila
T5282,NK-56Ss7AfpSvDPPSbts6jpqn
T8511,Q545979
T310,Q61642224
T12747,Q91190820
T12613,Q23530
T18233,NK-8uQZAkfryo68gunuLj4449
T16198,NK-nw3eNDXmFncVrGXxc6zwPo
T16576,us-klepto-hr-visa-colombia-publio-hernan-mejia-gutierrez
T9044,NK-XhCpkPeVVtz4ku2hYd89cR
T20729,ofac-48640
T26074,ofac-d7622d7d52f305dc16587c8a3e4fc29a27a5c204
T6933,NK-UpnxKpGK4MbZpst3uKDBhw
T25754,Q4417712
T22531,Q4327599
T18589,NK-7rYQnuFJE6gVevJUHUUawU
T6964,Q98844079
T3798,NK-m8bxr2xNP2yoyZpZW6y5fW
T12823,Q19818062
T21118,NK-BMAFhujvD9QU5gAeSdEFLV
T21220,NK-FMvuXvsHCHuruqkr5Enyme
T5261,Q2007053
T22812,NK-GsPm8FktQSSeqUkWd29RxV
T24444,us-klepto-hr-visa-democratic-republic-of-congo-aubin-minau-ndjalandjoko
T22427,NK-MHXxYVbfSA25TsRv7BAMak
T184,us-klepto-hr-visa-colombia-martha-lucia-arias-isaza
T6585,Q335688
T13147,NK-83auTFcFDdYa7Xo6RgQWhU
T16001,ofac-5143baac8e951e72e95ffd93f5db3c55a770e2e1
T24478,Q4236030
T14111,NK-fDUFmmEEBqSVvPaKQEqQNg
T19783,NK-4JkEYCeDETGeaY6CQisQCw
T11043,NK-eDpPTwqEJ8bA7BLxj5M7WK
T1131,Q28497346
T17639,Q4265976
T12243,NK-mNtbBM2ZurpMWRoF7i9n7H
T14615,NK-JvYTZbSGnTHubgBNHd7hFs
T10668,Q28729008
T21441,Q4284542
T7816,Q108830914
T24943,Q4406578
T26263,NK-fbCh8YBcDcoNrmNCsoKKnA
T5124,Q26776800
T17647,ca-sema-1-part-2-209-ru-plant-kulakov-jsc
T22706,Q114878583
T4069,NK-8HFcAQKuosCUSb8u5n6GMa
T18363,Q6097047
T13730,NK-2cBQBDGWXCEPgiR8vQ2tw3
T26061,NK-XieLw86tDiKvi7G7iJSJ4m
T4634,NK-E2WQYoidXnpWXSbzPgwcp2
T10556,NK-LdxfKvxNub4XCpDzAKVZyq
T27678,NK-aL9eq9sZTWtMokLJMuAM7j
T18049,trade-csl-395b0016eca55c61c5af2a3d413d0f28a0f9fb118ec6796b3051e1ca
T12696,NK-iLRs5B8d3rgLMXkFGy8vVD
T13046,NK-USpGhXqdvnYWcFeCc4KrHX
T4023,NK-SV95ipkZgCiqjoerehGX8a
T29829,NK-X4cNAMYRNigkKv9aDdANKr
T9570,NK-MRk33U4K6bLFumg4DrNncP
T207,NK-UonWx4VVjySgZvAYAGeoNv
T25624,NK-XBqLqqDmwKaQJGVZsmpB7K
T11782,NK-NqNPmPNtPpBJmxEPAWe4Ri
T13221,NK-Fr5KLBF3rxwZCQeCZbXvrf
T6564,trade-csl-b713b661007a054b38a1062c15eb866ab8a2a92d289534ffe5e8fce4
T570,NK-aLDfWe5qX8B3jGAYVpd4Ss
T22271,Q4059500
T15386,NK-cDNcN876vrMzC7SZcMk49G
T26798,NK-ah2JSqXAiyRFJdn5sQ3ez8
T7877,NK-dffUZXtJrNqsjScGwjb5HU
T20304,NK-ZTtj4Tb6gRa6P8EbKgoLEm
T17787,trade-csl-7e3c3cbd0366d0f705b9121480fb53637efc6f028b91dab56b46592f
T3898,NK-NpcxojsMiMBEGqcmtjXPfM
T3927,NK-NGuFnSpzAbypWXBxcsvoXs
T22029,Q47453984
T27187,isin-RU000A107VY5
T26901,NK-AA2QUiti4moL5WHKtD8RiD
T28730,Q4081785
T3145,NK-hzsNvG6xj84xrRkP2Q2UAX
T6973,NK-eH25VNrBAczjT86JPNGG3D
T27366,Q4344022
T17909,NK-UjjzJ3zx6oaiWGkpkgCVFm
T10506,NK-Ee8a7VFQYxixFKxDcmbZtp
T11767,Q822805
T7669,NK-GzD75YiNcWbNVYsMTqG3gQ
T15610,Q16193482
T17936,Q2254048
T14839,NK-CPQhFVNE5MKPXFY6XCQeZn
T18635,Q120851950
T28668,NK-TSvEsMnDG9GY2BpPGog23d
T13212,trade-csl-d00fab9b3af7ecdeba4594ff0d3cee2fb0929552fb7f91ece1a07576
T13199,NK-oGyWufNHeATkCioYvAXV4W
T15547,NK-nqfWmdRCt4bt6WBHoqWGpQ
T11346,isin-RU000A0JXFM1
T27145,Q16979876
T24719,NK-86ZxzydmqWVUB85Zib4B7a
T27329,NK-WXVEfSyf8axsY39mvjSFx6
T7102,NK-Lme4V5QWJ3uZXogQE6ohqT
T14975,NK-WWhypgJKXiiY5uFHkPyPyN
T28551,NK-ZXwCdRVDGcADcMBViHbnHy
T21262,Q23530
T21294,NK-ZMUQU3LPvFBZh8akaZQeWY
T23333,us-nteea-353-8e3a850bc32263bbd069a9cb49db4abef29e9129
T13374,ofac-48384
T1750,NK-m8UXAnZAGDi7bH2uf68CDB
T22900,NK-3AmxyUizyAR4AuXrLHS7ba
T13651,isin-RU000A0JVD74
T18848,ofac-33860
T12397,NK-kdtwkk5qoJyipJrhqLeU4R
T8274,NK-TZdV4Gn4bid4cDNY5EwN6F
T29943,NK-m5t9R2A9aaxLE5ZUjCFAyN
T12976,NK-XLQRvt96kgAvhboh6YGpkU
T1762,NK-3VDAVgskazK6VdBmYiE9Gv
T24126,trade-csl-77227075fcbf4817b138b53bb13ef460
T26136,NK-brfLUp3szKpxKeQAxEoQ8L
T908,Q4306739
T5264,ca-sema-1-37-mm-pavo-trading-pte-ltd
T11552,isin-RU000A0ZYWN8
T27128,isin-RU000A0JY3D8
T25591,NK-aZDcGVoBdgzqs9U39yDTYV
T18945,Q19694388
T3691,NK-5yVd8Lznkz2Jn8qMqTdHPx
T12139,NK-eUx8arm54YJ9Jvhu3ExzcM
T13115,NK-bNhmBeiMaLGxdc5447NnHx
T16870,NK-2jBJNJZgZt9Kh3hStQfhDi
T11930,Q12904648
T12296,Q200015
T13349,NK-kAM2M2rAgGVmT8jmqfxbcM
T520,Q96283132
T15632,NK-3EhfJRgifkyUvm5PeK9Ahd
T8450,NK-nWdVxE7T7dYcNW3f7ikYkT
T17806,NK-RVWtMZDmyrJGGkkjJUr9RS
T2464,Q4296640
T14657,Q736840
T7439,NK-JW8CjyaT7qwP7nCBuUwaut
T4503,trade-csl-d27af5c1cfc05c1ae5e6ebb9fb7819f2ba0311b1ba4b199164967883
T809,isin-RU000A0JV8A6
T28350,NK-Dj6ouUBsKRrxJrCoQmFmSB
T28618,NK-3xodMxvUnsmZWq7VjZJpcj
T7560,NK-anf3D76vDMur2SMvQiQ6CG
T12248,Q55104097
T1339,NK-myw5SFGq2neiwwEyKamaUv
T28023,NK-hNUNKjDvWmc9QDfbWw2NPK
T17701,NK-2rTk2ahsf8YRmX9pna2Wwp
T11595,NK-UeaCXGeQ2ry4NRfgjpYhNJ
T18928,NK-QerKwvxdyRB6CAPKb3FYLa
T6127,Q27924709
T13023,isin-RU000A0ZYRT5
T4357,NK-6Zd7dDW8qYryTByH7PJZpe
T14974,Q4523285
T16449,NK-jybd5Ddzx84xURYXTDHaEc
T15203,Q4074398
T24901,NK-gxmQMTivbd8MyNHK66Mzdz
T6781,NK-RvYNjNdgV5BPkHrzCpMh7j
T2965,ofac-33765
T20895,NK-G4vizFB9NVbf4SYU56xrnD
T28498,Q4169909
T3823,NK-kQezL9rtzxUf5mqT3D3ySk
T7272,NK-e6E2BrMH46H4YTPUseXTnD
T650,NK-ADuJ972c5A2EjpbmoSU5Zg
T21840,Q19521683
T7601,NK-8nD5mqJzjaZeBo6BQRL4Pa
T27368,NK-VAxm5CraZ5qvUG5kDhhwf2
T25810,plmswia-osoby-danchanka-aliaksandr
T6378,Q2564269
T2465,NK-e6E2BrMH46H4YTPUseXTnD
T11468,NK-CxcJrTcpzUxCVukQRWzeuo
T5900,NK-LZW32HfEKnPguhbYjts5ez
T18532,NK-EfdDNPMgtNpPiRtqNkCeFK
T28827,Q28496499
T9986,trade-csl-bca6d83c8db88e528758dbe7f387f385fe372deac29ee1bb237fb8cf
T12875,Q1899090
T21985,NK-ezapcJWyoFcVNabN2vq2XY
T1945,Q3427716
T27176,NK-5X8f2T9k7she9rYx4KquE2
T24876,NK-7Jghr2LXh8WPGxBMS7sn5F
T21670,NK-ND7hQ6wCSk5BRoYwfvFZtg
T113,NK-fVsSTTkdR4jAxJ4CkKjV5K
T22766,NK-A65MzrnwnRZSLrmC8t7vMW
T13862,Q51670392
T2434,NK-9vcaus2QVimg3gus4LiZWY
T4952,ofac-48654
T18094,isin-RU000A107SJ2
T19953,ca-sema-1-58-ir-nouavar-shad-co-ltd
T12219,NK-FAzEcxSVJndrM7quoQUhCN
T6724,Q19864348
T28177,NK-2H9BXkyEuKhY4BH7rkBbdX
T27388,NK-CHErLH2sfYm2kagr8sM9Fv
T3085,Q3313719
T21066,NK-MGxbwmrpVqxSmD9GhKLRSH
T15729,NK-BPNEisAvpshgsBma4GJ9mn
T6426,Q4415436
T15966,us-klepto-hr-visa-russia-ekaterina-vladimirovna-omurbekova
T11201,Q4279423
T17391,NK-hfQVCNzTGZstJYroWzWCK9
T3739,NK-kdtwkk5qoJyipJrhqLeU4R
T28457,NK-8XS84aZmqeZ2PdFSr5hDe2
T2425,NK-KqDyEmnNJRxyA4qGbsG9Ys
T16145,isin-RU000A104TE8
T3783,NK-BUWoxiJj3jPHCxZ9F8pKu5
T238,NK-a2i4tfHdpYoJa9xqHTAfbc
T12877,NK-9xeBhqoitBu38LUuYuxUeb
T8169,Q737463
T17324,trade-csl-c22e308adf863f5ccae9e1e35ede303e950df5f2e9872feff07ba247
T23676,Q4069084
T5563,NK-A65MzrnwnRZSLrmC8t7vMW
T5761,NK-DFh5k4i7wZXJfQeGEn6nZb
T8741,NK-Xoy4knwrxD8zh6dDHXYiDu
T10667,ofac-06234ca3ab3f56906ce35f0b839004f4bb4c0dff
T10430,NK-QKcT4hcBPtHNuqhBtRoFaQ
T22376,NK-52er7Gmqkjm6z56tZ77Z3u
T13749,NK-P7e5HBZHbKPP7cgRpE3mgJ
T27491,Q61595604
T11871,isin-RU000A100S25
T25920,NK-Bejq98CXNqNVHPQjB5i3Wj
T1088,us-cuba-starfish-cayo-santa-maria
T18368,NK-LWpMLqQDjqEx69xHxii7Ps
T18891,isin-RU000A100M21
T23623,NK-kjqjE2XMxYMp6aQbawt8X6
T17846,NK-d4Zy4yyAH3uSkow6GCFk65
T28200,Q67536406
T19761,NK-6uBoKFw7cxzpbP3TgnbfGi
T26198,NK-e8cCJgF7N7BKweBvRABkiE
T258,NK-iNsCK9MsWKJLxhJUAg6cfW
T11381,NK-hUAjuiA3vTKXF6v2X6MYnS
T5437,NK-DeBGJEZTvAYbk5PSKVyPHc
T2873,Q5690975
T18782,NK-ETZ7HXWAcSAz7SuUQ7Vy4A
T18061,Q26157431
T12071,ca-sema-1-83-mm-life-challenge-co-ltd-also-known-as-life-and-challenge-co-ltd
T19114,NK-crZjZpJt7gH5GmCYDF3SYP
T18794,NK-SV95ipkZgCiqjoerehGX8a
T29183,NK-RTkZM4W3eEiX8QUjDccSjK
T15748,NK-iqhzCQgwBYkW7zjPUKeb8s
T2252,NK-WQPWEtaCtNNZRDdxr4MQ7B
T6801,trade-csl-5153ad5483ab441917118ee3c7a176e8c01b0754536b29a9442d8739
T1099,Q28495038
T6694,Q4415436
T11029,Q34256225
T7621,NK-JuuZZvuo2UfDHHyeRu7XzJ
T18513,th-des-koseng-latehyama-1989-11-20
T21587,trade-csl-c59d6a30f46f38f54a71a32b24322f2bd7cd892de99aaca54dcf74dc
T12224,NK-bUm6qi3bnZx585NQ59AQ8H
T24049,NK-ZgMSvcKHVAu8FRBzpHazVX
T7338,NK-SV95ipkZgCiqjoerehGX8a
T23770,Q71167954
T6525,NK-fxdED6dna2TvkcPsnaoLzG
T23328,NK-Lme4V5QWJ3uZXogQE6ohqT
