ltable_id,rtable_id
T29768,NK-UBfo8ijTX9JddSJNdqBGNG
T15856,NK-3rp3WfUvDfprmR9qqNUFec
T6755,Q1817068
T1250,NK-ZfmsE3QMQ7zHT2YaWy5aQr
T5674,NK-k22gbYr7Uau2z3itcnX3R4
T12076,Q381970
T735,NK-aNVUWuExFHQbZ3p7qRhGFB
T22972,Q132243
T4097,NK-jDDqq5wnMWEEhwakUeHcr6
T20605,NK-QBukDhgb5sA9ahjjc7Yj6Q
T14183,NK-i46GDUe6wVMGFEqJFtCWwz
T7184,Q21106348
T4645,NK-KhZmTt8sTbLkMcGQchrpaT
T12905,NK-idyYGdy4PdNmkN52Cy9Nst
T3164,Q26776800
T402,Q3159627
T29660,Q86000757
T5759,NK-agaRKWtyPdgGfLK8v67bRr
T5360,NK-jF2ydUQD8gK27wV48NPbGH
T10129,Q400624
T1460,NK-nqe9Z28AonVzSU9H94YzU8
T1888,Q4344022
T8002,NK-UZxKyGb4ZJpWnyf2qA5ZfR
T6773,NK-Kua9YibwT5LynAEqEHukyq
T18752,Q108685074
T8343,NK-89fyouWj2MpZChdqnoDkiz
T28052,Q65158617
T11503,trade-csl-7d861c6f482162501ef26a8a85653641a49477cb06d429113b8d74af
T7436,Q510523
T7439,NK-JW8CjyaT7qwP7nCBuUwaut
T3775,NK-hWqz3QZJQbVCHAKSZjZgy5
T25316,Q107296540
T6110,NK-ZyGAJy9pixaaF7X86tPD5G
T7584,NK-8fu9MGHepZ2dQcWUBFbkr5
T7308,Q19818048
T553,NK-cava9sWzN6zCiFfuQUD9wa
T20556,NK-nfCjfR6X2VVGRCViSxosJM
T22157,NK-5HbKvxZXHNpfmp8ujbDgTh
T6619,ofac-33858
T8951,NK-AHEc7A3F4d3xgYmNht3dZS
T26349,NK-DUPMdprxJAbbsQCbuyYJb9
T9291,trade-csl-026eb5d018c2b261a2e01ed5611d8f94eaa03e994367413c77e7f44d
T21438,Q3917380
T2263,NK-SV95ipkZgCiqjoerehGX8a
T27693,us-klepto-hr-visa-venezuela-jeisy-catherine-leal-andarcia
T18862,Q108684958
T7925,NK-J9NzSvDUcpiRBxXMGTuEeT
T4285,trade-csl-b4fc2a4089841736f02c4fc74072cdb9dff4c5b8c9081bc266e5cfe1
T23297,NK-SV95ipkZgCiqjoerehGX8a
T25650,ofac-48432
T26308,NK-nUC4yqBRj3vvo7q5WWD3iZ
T3770,Q41573578
T5440,NK-hK2bvYHqhLgHmCEnn6gPrk
T26243,us-klepto-hr-visa-democratic-republic-of-the-congo-leonard-muamba-kanda
T26738,NK-aCGuQWo4Z4UnWV5iw8L5kz
T15369,NK-XLX9yLvogRxUyBWWTKfcnp
T7535,NK-YKmBfi5EJgJmvNY4seX7xD
T7063,omnio-5961f6ddf11fefa430efacb9b276dcea40093d4a
T4128,Q91200445
T12873,Q4163665
T14926,NK-VC75huJwQJZGmfMMLxfCVe
T22617,NK-geL4tAoUdRDa9rrUZGCqMo
T7667,NK-8XuEnr2XRkcqbr6vMbxSmY
T25914,NK-Zi89Zf94R7i3H3SMYWHGCA
T28668,NK-TSvEsMnDG9GY2BpPGog23d
T3900,NK-7eToWHGcRrwACmCJHwQNss
T130,NK-bd7RwKVZn7DQ4exkwcWev8
T691,NK-L3QR5w35oSQPgt5LXRJjXn
T8408,NK-h2jgvzmwNmV59vdtQQ9GZP
T13821,trade-csl-11a40facb0acc0b8f28180f049588e0f21403a2f9be7ab1090906424
T3001,NK-VFZZZ64EZPmGZbFDUVMvB9
T10546,NK-G2FthS84BFtToxBkU7GHSi
T2499,Q19519696
T6428,NK-6WEHSbAYCCA7ZfJLd4pFbE
T11524,Q4099632
T538,Q57071116
T4781,NK-hptn95ypQReT2xj8DmxAzE
T5862,ua-nsdc-27402-potomkina-nata
T26552,ca-sema-1-9-ir-demco-designing-engineering-manufacturing-co
T27642,NK-EAMdxHVuJUZ7HUGTDGUzFF
T7894,Q65134855
T10933,NK-A9VURFMdCj9Zh5nhaCoeHX
T6097,nz-ru-ind-107-sergey-altukhov
T16272,NK-QuX8NJLfdNxzb9KYNmPbfF
T22260,th-des-nasru-mapahsit-1992-09-16
T3268,NK-cjqc4sxvUKyv5jE2q6cv3s
T12084,trade-csl-9e0b6e5e2907f6d0d5510decfc5f742ed52a2bc4b86550078922e9cc
T11167,NK-edz4up6qqEgkrCvjmHkcPg
T12990,trade-csl-addabf5af46f82731fc552d1b8748d7fb7f81773c7cd329ffef97033
T28794,Q87699694
T19001,NK-WqMMPs76SqZ6wb6fZqicc5
T21139,NK-b4rPP6EfzQS8nFvvgvJK72
T21169,NK-hCAm5mj25s6PUAYGfovwmQ
T25655,NK-5fr6cPstaKy8DCikFQ6ME3
T24081,NK-Z3PUCq4B5hBs4r5n8KNQSp
T3390,NK-ZGpjqFj46aa78A8kUhsBta
T4370,NK-oMLKJS8PfahoxnDQonq3Ty
T5927,NK-ftmfqSxFLabSquPF3W7aa7
T11335,Q21172178
T9788,NK-h83LbGDdHALUqJhRM3LRL4
T6127,Q27924709
T16156,NK-7xC727P7qzoQGcEGJVYbh7
T17355,Q19818067
T20534,NK-j9XiG5j4JG73h4vMB2Atud
T12617,NK-iCk4ooXRj8DDgbDjZGeWLS
T22402,Q202553
T5032,Q335688
T2120,NK-EddUVwsaKF3fBthFqg7KHZ
T18145,NK-Rqn9nbD6NT2g27GjLPj7hU
T26199,Q17198200
T10044,NK-KRdvub7MvSfCsqLF6Ljnvt
T22868,NK-jQzRDhP7rRcS7F5qBsJGdk
T14615,NK-JvYTZbSGnTHubgBNHd7hFs
T27994,trade-csl-e9f6c2eb37c17bbbcd87c294fa313b3da7ba9eb669d280911f5b4755
T18622,Q714727
T16447,NK-Sw2C9hMEkSbCUYqW23vbds
T10184,NK-ULNB64t5vX9ApTD6UyB7yH
T23176,NK-GmdNkkxkoKdnLutBzLY7ie
T14506,NK-ZGByTwFrPb8bpJDy7VuhGQ
T22353,NK-YTVTNfGFaLurB3dFNp2bGt
T13730,NK-2cBQBDGWXCEPgiR8vQ2tw3
T4527,NK-fGx9K566NwYHdPvN5Fd4ud
T18433,NK-8LvUivpYUgUyLd7JCnxb6R
T9227,NK-jGAhzmfgTFeqs9oVD5TPLx
T27543,trade-csl-cb502b2a275e5a66185990444e647c2c9895380ad46d0926316b598e
T29009,NK-Mb2VfZKUFxMMEL8FVbjnUL
T2747,NK-kmpH2XzcqTk6gcjQqmaANq
T1080,Q24642452
T26690,NK-UoFXh4URjUBgNjeA8HqvFY
T4952,ofac-48654
T10069,NK-c6cEdyhFT8jijNHH7S8gKr
T10374,Q108680736
T17182,NK-JVrMu8SkncXe4sdXo89p8h
