ltable_id,rtable_id
T5919,Q9337999
T25106,NK-husL94udu5zv6MmvcZgGjg
T12086,NK-QR52pXiUEpqHD956igoTXL
T23743,NK-2wwJbTLdEKohEd7MgKFZdo
T8408,NK-h2jgvzmwNmV59vdtQQ9GZP
T24772,NK-eFXRPf6b4WxzZ56d82y4Gz
T13749,NK-P7e5HBZHbKPP7cgRpE3mgJ
T21881,NK-JrYwzzzmhw9fwxGeSjP5aB
T49,NK-8tiEmMbW3onZv2e6D8y3Yo
T19032,us-klepto-hr-visa-malta-sai-mizzi-liang
T11624,NK-SFUpbbKdHY75YMKmgK3QEp
T15030,NK-eyDXjyUXwch5JDiyxqs9vZ
T14050,NK-LFRGJDcQU24X5kAWbfNy8T
T26520,us-nteea-353-98febe59692d692a85ad240f52e37b06bde2bc6a
T17041,NK-4F2gB58hUAdUBNYxLQhGDe
T3874,NK-gAoBTrAcVYmxFLJwjp58Mh
T4504,Q16733535
T11005,NK-a7xwxxybnK8bryRDWx3ory
T9502,NK-Ur3yKuWVvSxX4avYhu4Q6s
T27521,NK-2xM9EourkD9wBpcwMEkLbG
T29967,Q79054335
T12349,NK-697YHhSYoz5PwqxhCTBAQp
T19779,NK-JW8CjyaT7qwP7nCBuUwaut
T20880,NK-UHom9ZJUa2xeX5Se8QygSE
T22777,NK-VqVGbGTABttfGfVFVyd2Ss
T17110,NK-SLG6GU3SsstPBobaxJC79P
T19080,NK-5D3VjL2VHxnWx5MwH8gadQ
T11023,NK-5uKdTbYHsSepspqJkhSacx
T25132,NK-mykF2bUtrj7qtWjX38GFrs
T12456,NK-S6MXLBKUFEAQJd6jVGddS3
T24645,NK-nriYAWGd5YRjPbUtWhNob7
T11516,trade-csl-03abb91dfdd37f4dda20514e301d1e2787b175feb6a78bdc87850d26
T28370,NK-gNBwx5Q72529RDPWwkA9vs
T23696,NK-hANkoAeQiRCFroicbJHjr4
T19002,NK-hPyLNXs33U3huZ9L6MNkKr
T1582,NK-SHKXMhdJWuctCLeNfKNoL6
T22049,trade-csl-c57d58936706731f081c82ec9cff23179650b6c900a94e36dcee795a
T19157,NK-fcaoaJFxU238SbnXfsp6q8
T17916,NK-Vt4VqKiQSiNK7pADvNjawi
T27544,NK-jXQSCbNRLXrhB2csxe6jYa
T24943,Q4406578
T6451,NK-HKWMkdDvNSyX6Ga4DYaTGS
T9337,NK-69kgDiZoHRwaLK8mMZKvLU
T3227,NK-Sb82tEDwDrgBBYucbKaoxx
T11341,NK-kdDZtQkzW24Wa3faRvVVN6
T238,NK-a2i4tfHdpYoJa9xqHTAfbc
T29472,Q4178347
T2174,NK-fnGQah9pjBHquAk27QhdUj
T10950,trade-csl-db2d480234c39975ce243b2fbbc486ddd9b8a01dc0c7e54c42883e5e
T21054,NK-CR77CWVf7q3sCkCHwMmhSH
T15514,NK-9J9uzAsYXrndLi5tMxYeiR
T11943,NK-CRetgmCcL5aQjWsPRV445t
