ltable_id,rtable_id
T12124,Q4364752
T15055,NK-CqA84NYkVCn42WahGUMGiX
T5132,NK-KNuzWv2ZK65duZyLCmWYwN
T24884,NK-SBd2UEeMbUtow3V79aKyqe
T20193,NK-RQBkxjFw6iR4HNXB9f4WRP
T11604,Q106730823
T9632,Q19619171
T16062,us-cuba-nh-collection-victoria-la-habana
T8304,Q3196127
T268,NK-kRJeMu5kayQEXGuFq7N4d8
T1477,ltfiu-6-uab-amkodor-baltic
T24815,Q6542738
T14340,NK-72dAyQ2PLjyPEpaPSiWPCp
T12671,Q1421929
T20923,NK-ZrHnaMtdDkGKTgU24rqdYc
T14920,NK-KJqEiwYbdLdRcikZrGTDDk
T16697,Q21094223
T16893,Q60172293
T11387,Q4203649
T29821,omnio-d0e924ceca598ba69c66b747b660f1b793383fc2
T18858,NK-m8TW9o46qYXyEGD6YAd5eW
T22811,trade-csl-f2e0c43fe1d342d891b4e9af4babcd49
T208,Q16045770
T16017,NK-KETCdZT5dsZbrb9fK47NCw
T3709,Q19818053
T14718,trade-csl-650a34b42849491da8cf31009395f338
T28018,NK-Nys9JKZkq7RBtBjYPPTkYj
T26800,NK-MNLFTkf9RGPtTQnvfr4Du2
T28549,NK-Werqh6HqNkohXer92bDKmq
T28766,ca-sema-1-11-mm-mec-marble-mine
T20355,Q233282
T29006,Q4528002
T24841,Q368947
T23375,Q106838707
T2912,NK-kAM2M2rAgGVmT8jmqfxbcM
T20310,Q4245378
T27213,Q176846
T27785,NK-goCEhLUEzam5M7K8WEukXq
T7962,Q31180719
T22799,NK-i7RPBAYtpXjCviAjo7oGGJ
T14636,NK-8puiaXUP7Hm9mzPb5unb8N
T19547,Q4059843
T9591,NK-NSPgHzUdiftHebSvX2njwp
T2896,Q1340169
T9332,ofac-47178
T6172,Q4321212
T27327,NK-kdtwkk5qoJyipJrhqLeU4R
T16281,NK-jySjoEcJHUEmWJdCU7ngmF
T4154,Q200015
T2108,trade-csl-004d0446ed11238cfca1b6ffd923243d0f612d7762a079f45c7a0705
T17118,NK-SV95ipkZgCiqjoerehGX8a
T19357,NK-JVN8a3NCNiHzGxh4qrn55j
T11869,Q57766
T12935,NK-A65MzrnwnRZSLrmC8t7vMW
T7074,NK-dDbPwteGDYbsbN4vu7NMYw
T13835,Q1966094
T21730,ua-nsdc-14221-en-grup-pls
T1212,NK-YkoLgBDQVp4bsdeBg5QJiq
T5160,NK-dzezcV7ryRgSkwGEfVuaEf
T16809,Q718765
T21731,NK-efAmF2qtYUAVf5jiYuczyr
T16075,Q734866
T7281,NK-narJqZ5noVThwsf5NXoAYY
T278,NK-RqprgiEHsMxZgxFLxAz9vE
T4093,NK-AF549nEXRAkxEWpXAAzqAB
T8132,ofac-42306
T16324,NK-bneLx6UTX4E63P7ZHhxMwr
T23492,trade-csl-bc36bedd2f04414c8a7eea9d6a51f3ef
T13011,Q6386891
T1091,NK-AXwPnRhBYukbCjcAwiSYJn
T4366,Q4398633
T14285,NK-ZzY2N6PvC3vQcGTZkNSYM6
T23017,NK-VFZZZ64EZPmGZbFDUVMvB9
T9889,NK-4cHsXunRdsRwpXUJSxt4Vh
T10443,NK-ZBcE2RXaMsvXhvDVXD7eGH
T8429,Q2029677
T17933,Q107311193
T6416,NK-iifsXbarjCspFAfdCPcTwY
T25006,Q4059843
T3800,trade-csl-5a2b173c1240467edefd21d0033b591fd301b7cabe3f15095b4014ad
T21288,Q233581
T13138,Q15079062
T4762,Q23530
T24561,NK-hjvhzxiRFtH4yRrwhSnz2Q
T3538,trade-csl-95d8eaa19d0beafc8b494b556734178b55bd551a1fffed87203c724f
T24095,NK-Af9aGwXT36aqnAx25PrHx6
T3434,ofac-33986
T14800,Q2805892
T3688,NK-965GD63cwTaTSXQPctYutJ
T17074,NK-DPfL3SAfcnh4HykxmszzoD
T27303,NK-6RjkqLM5pJL79XBAyGeMWb
T974,Q893767
T15158,Q12277826
T19047,NK-KW8kYDMNZZw9VvHgxWRXY3
T18632,Q108807671
T15718,Q8011165
T3882,NK-Xzucb5E8ejkTQLF8jskG85
T11856,Q4364752
T12073,Q105234492
T23172,Q115536958
T18956,NK-VskzSsFKp3zGbtoVGVo4Bc
T17391,NK-hfQVCNzTGZstJYroWzWCK9
T28352,Q4398633
T4563,NK-9eY5jBkGa6FZtJXeSYRyMz
T25626,NK-RV9hDinKqoLgpd4Xp7Ld8J
T15750,NK-YNPb4x3YGFimNRkUxmycUt
T19648,ofac-37430
T13658,NK-etxUMtGjyv8hijKRbLzGxQ
T22383,NK-LKcc24xSfQGC32TtHpN8Nu
T15623,Q4090520
T12677,NK-VkdrMy7LjyCtDUT78bhJmU
T24913,Q15727541
T8050,Q3788643
T25923,Q336347
T8763,Q5703610
T9609,Q114755818
T6012,NK-av5wr9T79UojAzEFdPRF7c
T15244,NK-c2EEZzmyDaFTR7z2VQxfhi
T29101,Q4302998
T28394,Q1958500
T3694,NK-GFQjyN2ckPafZzXtrmHC3x
T11506,NK-HB3RMDu8NbxkaKZ8Qy7GbM
T12666,NK-azZDXfrGV7VEK8jqqGFbJ2
T4628,Q1320356
T1506,Q447173
T5563,NK-A65MzrnwnRZSLrmC8t7vMW
T839,NK-Wzq8bLD8xpT8Gagz9YMDnY
T1705,NK-mP7CPXLSEsXX36ypC4Ecww
T10209,NK-h3H7RR4khDVCPYUK8cDwqf
T15542,NK-U2AJfwZyww5nxdacy3R7Vp
T27722,NK-fUVmCqw84rVNstXBxympPd
T22565,Q4362893
T5554,Q4360605
T4423,fr-ga-1813
T5901,th-des-asran-awaebuesa-1993-07-02
T18977,NK-DiWwTfwPBYVLLppWESeWx6
T7678,NK-gj2qFRxY6b6vVUsnKhkJXt
T18916,Q4193697
T623,ua-nsdc-27358-sepanir
T25527,Q276981
T17461,NK-ZCFCQ2qVrMiFkGFmVD42tL
T932,NK-mmaVW4Y5i3N6VBR5WuYVDm
T10175,ua-nsdc-27413-ivanovski-hristo
T3391,Q18276673
T18609,Q16514790
T15243,NK-kGjoxxDX8oWgFuHxjp7nZZ
T8402,NK-CQa3vMPckY8gtLayd94pDy
